generation,amount_creatures,average_energy,average_speed,average_sense,reproduced,survived,died
200,50,1.89099667061756,0.842864489547621,4.5486576960372656,18,12,20
201,50,1.7280396127050874,0.8547372642517178,4.548077590708533,17,7,26
202,45,1.9590258122757382,0.8739675389388155,4.328142858661838,15,15,15
203,50,1.8512328878673676,0.8924258976329768,4.211428425037908,17,14,19
204,49,1.8610971472464288,0.9141064264844989,4.104445142891286,13,11,25
205,43,2.0084443374669,0.9267957012690119,3.994296084791146,16,6,21
206,44,1.9965361934008028,0.9393769339784321,4.006032804625683,17,12,15
207,50,1.8867824298962739,0.9513041983131414,3.977280723852918,18,9,23
208,48,1.9377835995589965,0.9571618065231285,3.922729599920668,17,11,20
209,50,1.890449654568507,0.9538254814761473,3.864317467204976,20,8,22
210,50,1.8529930273835773,0.9569828464880193,3.8149866489764213,14,12,24
211,46,1.9473096185155478,0.9490760095496844,3.8950450398043803,16,14,16
212,48,1.9290036708920535,0.9504723872107422,3.8646067631571523,17,13,18
213,50,1.785111502769448,0.9597882642741651,3.826918696418019,15,16,19
214,49,1.9057575424449513,0.9581266747724699,3.7547922509377094,16,12,21
215,48,1.9512534565712203,0.9716275739857644,3.761254777494073,20,9,19
216,52,1.8514742703425107,0.9640883108242465,3.8652574230934196,19,15,18
217,53,1.8102452364487502,0.9923996239782756,3.7226867750580688,19,14,20
218,53,1.7982116071527823,1.0027834681929304,3.7245751211447193,17,10,26
219,46,1.9755712937542926,0.9979953327803146,3.734400380213351,19,12,15
220,52,1.870609242968993,1.0054888860865279,3.7237546470059395,20,11,21
221,53,1.837684231894708,1.017662801575679,3.6834412795070888,18,16,19
222,55,1.7970696964529709,1.0153518836733346,3.6660630796619835,18,10,27
223,48,1.9134993231713742,1.011671225713526,3.7025560715679764,19,11,18
224,52,1.8687099373875216,1.0188910100333086,3.700600803957872,17,14,21
225,51,1.8105785787301694,1.0297995441444694,3.734360361222745,18,12,21
226,51,1.8771524357708897,1.025458493875164,3.6569385324191086,21,13,17
227,56,1.8092808700994858,1.053260824520402,3.6198155152970486,22,9,25
228,54,1.7936088256532075,1.082783834908931,3.6228899044627885,20,7,27
229,48,1.9174501945249565,1.102572235577736,3.6080592889169956,18,10,20
230,49,1.866080485358081,1.10892722770042,3.6210454414147133,16,16,17
