generation,amount_creatures,average_energy,average_speed,average_sense
131,35,1.0681961540157363,1.2620700998671253,1.691317097906472
132,30,1.3643006719155046,1.2628899746144713,1.719875236270793
133,31,1.2993866944701298,1.2548617230271235,1.7037878900202543
134,31,1.1998768547024883,1.2489282223815836,1.7279855733863803
135,31,1.1018419776517012,1.248523088640288,1.7330427601446603
136,26,1.6559024901008124,1.2372710953022616,1.750015672722655
137,34,1.0803581934394944,1.226414349591341,1.7407729042257074
138,30,1.4146682535546684,1.2252007197885733,1.7530630516536398
139,32,1.1429148186980216,1.2229835367047959,1.7550390172854242
140,30,1.2253498491124004,1.2142407008147724,1.7441535479568049
141,32,1.182853735185607,1.211099790243885,1.75411064100179
142,28,1.342660345418389,1.1972964945108553,1.7907245434682884
143,30,1.2996048185634004,1.193297034869205,1.768337577360564
144,30,1.4397816855039112,1.187806058067282,1.757359138239154
145,36,1.0951663297903242,1.1903232990381127,1.770662726365907
146,34,1.118025812742843,1.2034242782361415,1.7682081032999326
147,31,1.1928009583922168,1.2044486751461907,1.7490515043965538
148,32,1.155706158683793,1.2076934708302156,1.7476915869367982
149,32,1.1862225842006966,1.2105207127637163,1.7434113251346277
